Bezahlen mit;Typ;Restaurant;Adresse;PLZ;Ort;Kanton;Telefon;Website
;;D-Vino;Seefeldstrasse 113;8008;Zürich;ZH;044 383 30 01;www.d-vino.ch
;;EarlyBird;Aargauerstrasse 1;8048;Zürich;ZH;043 333 31 90;www.earlybird.ch
;;Easy Bar;Freilagerstrasse 1;8047;Zürich;ZH;043 211 00 44;www.easy-bar.ch
;;Easy Take Away;Badenerstrasse 213;8003;Zürich;ZH;043 333 20 68;
;;Eat & Meet;Binzring 17;8045;Zürich;ZH;;http://swisscom-binz.sv-group.ch
;;Eat & Meet;Müllerstrasse 16;8004;Zürich;ZH;079 594 81 00;swisscom-müllerstrasse.sv-group.ch
;;eat me;Rue Pépinet 3;1003;Lausanne;VD;021 311 76 59;www.eat-me.ch
;;Eat n'Town;Kohlenberg 7;4051;Basel;BS;061 271 13 42;
;;Eatzer;Rue de Veyrot 14;1217;Meyrin;GE;022 501 55 55;https://eatzer.ch
;;Eau;Dennlerstrasse 43;8048;Zürich;ZH;044 492 02 00;
;;Ebel;Arbachstasse 1;6340;Baar;ZG;041 761 86 01;www.ebel-baar.ch
;;Ebrietas;Aarbergergasse 46;3011;Bern;BE;031 311 23 43;www.ebrietas.ch
;;Ebrietas;Zähringerstrasse 39;8001;Zürich;ZH;+41442626460;www.ebrietas.ch
;;Echalotte;Rue des Rois 17;1204;Genève;GE;022 320 59 99;
;;eCHo;Neumühlequai 42;8006;Zürich;ZH;044 360 73 18;www.echorestaurant.ch
;;Eckstein;Büelstrasse 1;8106;Adlikon;ZH;044 840 31 40;
;;Ecureuil;Bois-du-Couvent 108;2300;La Chaux-de-Fonds;NE;032 913 16 48;www.restaurant-ecureuil.ch
;;Ecusson Vaudois;Route de Thierrens 2;1041;Bottens;VD;021 881 13 46;www.ecussonvaudois.ch
;;Eddie's Café Bar;Erlenstrasse 40;2555;Brügg;BE;032 372 75 44;www.eddies-cafebar.ch
;;Edelweiss Tradiswiss Café;Avenue Emile-Henri-Jaques-Dalcroze 9;1007;Lausanne;VD;021 616 55 55;www.edelweiss-cafe.ch
;;Eden;Rue de Lausanne 135;1202;Genève;GE;022 716 37 00;
;;Edomae;Talstrasse 62;8001;Zürich;ZH;www.edomae.ch;
;;Edward's Acacias;Route des Acacias 43, (Media Markt);1227;Les Acacias;GE;022 304 11 00;
;;Edward's Bel-Air;Rue de la Cité 1;1204;Genève;GE;022 312 02 80;
;;Edward's Eaux-Vives;Rue de Jargonnant 3, Centre Commercial Eaux-Vives 2000;1207;Genève;GE;022 736 34 40;
;;Edward's Mont-Blanc;Rue du Mont-Blanc 16;1201;Genève;GE;022 810 00 10;
;;Edward's Rive;Rue du Vieux-Collège 1;1204;Genève;GE;022 311 58 58;
;;Efes;Grüssenweg 10;4133;Pratteln;BL;061 821 01 31;
;;EG Bar;Bahnhofstrasse 5;5210;Windisch;AG;+41564423000;www.egnetcafe.ch
;;Ege;Feldstrasse 133;8004;Zürich;ZH;044 271 80 30;
;;Eggbühl;Zürcherstrasse 46;8102;Oberengstringen;ZH;044 750 40 45;www.eggbuehl.ch
;;Egge 14;Friedhofplatz 14;4500;Solothurn;SO;032 623 28 28;www.egge14.ch
;;Egge 6;J. Rosiusstrasse 6;2502;Biel;BE;032 322 66 38;www.egge6.ch
;;Egghölzli;Weltpoststrasse 16;3015;Bern;BE;031 350 66 40;
;;Egglisgraben;Egglisgraben 12;4133;Pratteln;BL;061 823 18 18;www.egglisgraben.ch
;;Ehriker-Beck;Tösstalstrasse 85;8488;Turbenthal;ZH;+41523855758;www.ehriker-beck.ch
;;Ehriker-Beck;Im Berg 10;8332;Russikon;ZH;+41449548833;www.ehriker-beck.ch
;;Eiche;Eichegasse 1;6331;Hünenberg;ZG;041 781 05 22;www.eichecafe.ch
;;Eichenberger;Bahnhofplatz 5;3011;Bern;BE;031 311 33 25;www.confiserie-eichenberger.ch
;;Eichhörnli;Sonnenbergstrasse 1;8914;Aeugst am Albis;ZH;+41447619164;
;;Eichhörnli;Nietengasse 16;8004;Zürich;ZH;044 241 11 28;
;;Eichmühle;Dägerlenstrasse 2;8442;Hettlingen;ZH;+41523161172;www.restaurant-eichmuehle.ch
;;Eidgenossen;Schulhausstrasse 2;3900;Brig;VS;027 923 92 07;
;;eifach guet;Bogenschützenstrasse 9 A;3008;Bern;BE;031 311 09 09;www.eifach-guet.ch
;;Eiger;Belpstrasse 73;3007;Bern;BE;031 371 13 65;www.eigerbern.ch
;;Einhorn;Hertensteinstrasse 23;6004;Luzern;LU;0414 410 11 06;www.einhorn-luzern.ch/
;;Einhorn;Dorfplatz 10;8457;Humlikon;ZH;052 654 14 24;
;;Einstein;Bahnhofstrasse 43;5000;Aarau;AG;062 834 40 43;www.restauranteinstein.ch
;;Einstein;Berneggstrasse 2;9000;St. Gallen;SG;071 227 55 55;www.einstein.ch
;;Eintracht;Seetalstrasse 101;5503;Schafisheim;AG;+41628920011;www.eintr8.ch
;;Eintracht;Bahnhofstrasse 36;8353;Elgg;ZH;;www.koebi55.ch
;;Eintracht;Neue Strasse 6;4703;Kestenholz;SO;062 393 24 63;www.eintrachtkestenholz.ch
;;Eintracht;Oetlingerstrasse 64;4057;Basel;BS;061 691 44 10;www.eintracht-basel.ch
;;Eisenbahn;Bahnhofstrasse 1;3422;Alchenflüh;BE;034 445 22 21;
;;Eisenhof;Gasometerstrasse 20;8005;Zürich;ZH;044 271 39 90;
;;Eishalle Deutweg;Grüzefeldstrasse 30;8400;Winterthur;ZH;052 233 67 00;
;;Ejay's Kitchen;Haltli 1;6318;Walchwil;ZG;;www.ejayskitchen.com
;;Ekai;Espace de L'Europe 3;2000;Neuchâtel;NE;032 721 14 14;
;;El Bocata (Chez Lisete);Rue Lect 41;1217;Meyrin;GE;022 777 76 26;
;;El Camino;Pelzgasse 19;5000;Aarau;AG;062 822 36 77;
;;El Capone;Hauptstrasse 50;8355;Aadorf;TG;052 365 21 20;www.elcapone.ch
;;El -Chiringuito;Rue Saint Laurent 38;1003;Lausanne;VD;021 312 73 47;elchiringuito.ch
;;El Divino;Winkelriedstrasse 39;6003;Luzern;LU;;
;;El Lokal;Gessnerallee 11;8001;Zürich;ZH;043 344 87 50;
;;El Luchador;Konradstrasse 69;8005;Zürich;ZH;044 271 72 00;www.elluchador.ch
;;El Mäx;Feldackerstrasse 1;5040;Schöftland;AG;062 888 14 88;www.cinema8.ch
;;El Mektoub;Rue Chaponnière 5;1201;Genève;GE;022 738 70 31;restaurants-geneve.ch/el-mektoub/el-mektoub.htm
;;El Mexicano;Spitalgasse 26;3011;Bern;BE;031 311 32 20;www.elmexicano.ch
;;El Mexicano/Cuba Bar;Steinenvorstadt 58;4051;Basel;BS;061 271 13 93;www.elmexicano.ch
;;El Pablo;Badenerstrasse 7;8953;Dietikon;ZH;044 201 57 57;www.elpablo.ch
;;El Paso;Köschenrütistrasse 6;8052;Zürich;ZH;044 309 17 17;www.elpaso-pizzakurier-zuerich.ch
;;El Primero;Bahnhofstrasse 198;8620;Wetzikon ZH;ZH;+41796931874;www.el-primero.ch
;;El Pueblo;Rue du Cendrier 17;1201;Genève;GE;021 345 81 98;www.el-pueblo.ch
;;El Rancho / Cuba Bar;Bahnhofstrasse 42;2502;Biel/Bienne;BE;032 323 05 50;www.cubabar.ch
;;El Sombrero;Webergasse 27;8200;Schaffhausen;SH;052 740 39 10;www.elsombrero.ch
;;Elanet;Haselstrasse 21;5400;Baden;AG;056 210 45 30;
;;Electrosuisse;Luppmenstrasse 1-3;8320;Fehraltorf;ZH;044 956 14 50;www.electrosuisse.sv-group.ch
;;Elefant;Witikonerstrasse 279;8053;Zürich;ZH;044 381 70 66;
;;Eléphant;Rue Principale 9;2613;Villeret;BE;032 941 72 41;
;;Eléphant dans la Canette;Avenue du Mail 18;1205;Genève;GE;022 321 70 70;www.elephantdanslacanette.com
;;ElfenauPark;Elfenauweg 50;3006;Bern;BE;031 356 36 36;www.elfenaupark.ch
;;Elggerhof Dragon Inn;Vordergasse 15;8353;Elgg;ZH;052 364 10 15;
;;Elisaburg;Elisabethenstrasse 3;8004;Zürich;ZH;+41797678875;
;;Elite;Bahnhofplatz 7;3930;Visp;VS;027 948 06 00;
;;Elite;Avenue du Midi 6;1950;Sion;VS;027 322 03 27;www.hotelelitesion.ch
;;Elle'n'Belle;Limmatstrasse 118;8031;Zürich;ZH;044 448 15 20;www.ellenbelle.ch
;;Ellisse;Via Pobiette 1;6928;Manno;TI;091 610 01 27;www.taiana.ch/ellisse.cfm
;;Elsalad;Rue des Etuves 9;1201;Genève;GE;+41227321515;www.elsalad.com
;;Elsalad;Carrefour de Villereuse 4;1207;Genève;GE;022 732 13 13;
;;Elsässerhof;Hegenheimerstrasse 20;4123;Allschwil;BL;061 481 02 04;
;;Elsbethenstübli;Elisabethenstrasse 34;4051;Basel;BS;061 272 11 05;www.elsbethenstuebli.ch
;;Elua;Rue des Eaux-Vives 8;1207;Genève;GE;022 736 31 80;www.eluapoke.ch
;;Emaus;Emausstrasse 15;5621;Zufikon;AG;056 633 13 85;www.emaus-zufikon.ch
;;Emilia;Albisriederstrasse 330;8047;Zürich;ZH;044 400 26 00;www.trattoriaemilia.ch
;;Emilio;Grendelstrasse 9;6004;Luzern;LU;041 410 28 10;
;;Emilio;Zweierstrasse 9;8004;Zürich;ZH;044 241 83 21;restaurant-emilio.ch
;;Emo;Predigerplatz 38/40;8001;Zürich;ZH;076 388 16 71;
;;Empfehlbar;Fabrikmattenweg 21;4144;Arlesheim;BL;061 703 97 06;www.empfehlbar.ch
;;Empire du Dragon;Route Vallaire 3 bis;1025;St-Sulpice VD;VD;021 691 62 42;
;;Endriti;Bahnhofstrasse 50;8180;Bülach;ZH;043 444 09 10;www.restaurantendriti.ch
;;Enfants Terribles;Rue du Progrès 63;2300;La Chaux-de-Fonds;NE;032 913 39 90;
;;Engel;Engelstrasse 2;8820;Wädenswil;ZH;044 780 00 11;www.engel-waedenswil.ch
;;Engel;Städtle 13;9490;Vaduz;;00423 236 17 17;
;;Engel;Dorfstrasse 3;5036;Oberentfelden;AG;062 723 21 20;www.gasthofengel.ch
;;Engel;Luzernerstrasse 58;5630;Muri AG;AG;056 664 42 77;
;;Engel;Städtle 13;9490;Vaduz;0;00423 781 21 41;
;;Engel;Schaffhauserstrasse 20;8524;Uesslingen;TG;+41527404167;www.engel-uesslingen.ch
;;Engel;Kasernenstrasse 10;4410;Liestal;BL;+41619278080;www.engel-liestal.ch
;;Engel;Holzhäusernstrasse 1;6343;Holzhäusern ZG;ZG;041 790 42 70;www.engel-restaurant.ch
;;Engel;Wesenplatz 6;8416;Flaach;ZH;052 318 13 03;
;;Engimatt;Engimattstrasse 14;8002;Zürich;ZH;044 284 16 16;www.engimatt.ch
;;Eni't;Claridenstrasse 36;8002;Zürich;ZH;044 552 30 20;www.eni-t.ch
;;Eniwa Power Inn;Industriestrasse 25;5033;Buchs AG;AG;062 835 04 97;www.vebo-gastro.ch
;;Enjoy;Wagistrasse 23;8952;Schlieren;ZH;044 730 24 32;www.enjoy-schlieren.ch
;;Entrecôte Café Fédéral;Bärenplatz 31;3011;Bern;BE;031 311 16 24;www.entrecote.ch
;;Entrenous;Boulevard Saint-Georges 70;1205;Genève;GE;022 328 88 32;www.entrenous-geneve.ch
;;Envers du décor;Rue de la Chapelle 10;1207;Genève;GE;022 735 76 00;
;;Enzian;Binzmühlestrasse 41;8050;Zürich;ZH;043 333 55 45;www.stiftung-enzian.ch
;;Enzian;Niederdorfstrasse 30;8001;Zürich;ZH;044 310 10 90;www.enzian-restaurant.ch
;;Enzian (Cafébar);Richtiarkade 7-9;8304;Wallisellen;ZH;044 830 93 23;www.stiftung-enzian.ch
;;Enzian (Vegibistro);Richtiarkade 7-9;8304;Wallisellen;ZH;044 830 93 23;www.stiftung-enzian.ch
;;Ephesus;Klybeckstrasse 144;4057;Basel;BS;061 681 34 59;
;;Epi Doré;Avenue Henri-Dunant 3;1205;Genève;GE;+41223297659;www.epidore.ch
;;Epi Park;Bleulerstrasse 60;8008;Zürich;ZH;+41443876676;
;;Epic;Chemin des Aulx 10;1228;Plan-les-Ouates;GE;+41227858585;
;;Epoca;Kaiserstuhlstrasse 79;8154;Oberglatt ZH;ZH;+41448850101;www.trattoria-epoca.ch
;;Equinox;Turbinenstrasse 20;8005;Zürich;ZH;044 630 30 30;www.restaurant-equinox.ch
;;Erbacher;Amthausstrasse 30;4143;Dornach;SO;061 701 12 57;
;;Eredi Fiorini;Gässle 5;9495;Triesen;;+4233922138;
;;Eremitage;Gartenweg 2;4144;Arlesheim;BL;;www.eremitage.ch/Restaurant/
;;Erle;Erlenstrasse 1;5442;Fislisbach;AG;056 493 22 10;
;;Erlen;Niederhaslistrasse 20;8157;Dielsdorf;ZH;044 854 90 61;www.erlenpark.ch
;;Erlenau;Belpbergstrasse 51;3110;Münsingen;BE;+41317217020;www.erlenau.ch
;;Erlengolf;Schlossstrasse 7;8586;Erlen;TG;+41716482933;www.gutgekocht.ch
;;Erlibacherhof;Seestrasse 83;8703;Erlenbach ZH;ZH;044 910 55 22;www.erlibacherhof.com
;;Ernest;Rue Cheneau-de-Bourg 17;1003;Lausanne;VD;021 546 31 11;www.chez-ernest.ch
;;Erpel;Türlen 1;8915;Hausen am Albis;ZH;044 764 07 71;www.erpel.ch
;;Escalade;Rue de Coutance 8;1201;Genève;GE;022 731 74 98;
;;escasano;Markthalle / Viaduktstrasse 10;4051;Basel;BS;061 361 60 00;www.escasano.ch
;;Escasano;Güterstrasse 172;4053;Basel;BS;+41613616000;www.escasano.ch
;;Eschenberg;Eschenbergstrasse 1;8400;Winterthur;ZH;052 232 54 33;www.restaurant-eschenberg.ch
;;Escherwyss;Hardstrasse 305;8005;Zürich;ZH;044 278 25 59;
;;Escherwyss Kebap;Hardstrasse 238;8005;Zürich;ZH;;
;;Escoffier;Feldeggstrasse 49;8008;Zürich;ZH;044 383 66 88;
;;Espace les Semailles;Ch. des Semailles 34;1212;Grand-Lancy;GE;022 794 87 77;
;;Esplanade chez Debiopharm;Chemin Messidor 5-7;1006;Lausanne;VD;021 804 60 50;
;;Espresso;Steinenvorstadt 26;4051;Basel;BS;061 271 57 10;www.braendli-basel.ch
;;Esprit;Laufenstrasse 44;4053;Basel;BS;061 331 57 70;www.lesprit.ch
;;Esquire;Aeulestrasse 51;9490;Vaduz;;00423 232 95 95;www.esquire.li
;;EssCube;Birkenstrasse 47;6343;Rotkreuz;ZG;041 790 88 77;
;;Essen'z;Fröhlichstrasse 35;5200;Brugg AG;AG;056 282 20 00;www.restaurant-essenz.ch
;;Essenza;Chaltenbodenstrasse 6 A;8834;Schindellegi;SZ;044 280 33 66;www.arkanum-club.ch
;;Esserts-de-Rive;Esserts-de-Rive Haut 7;1345;Le Lieu;VD;021 845 55 74;www.les-sr.ch
;;Etagere;Herrengasse 8;9490;Vaduz;;423 232 22 09;www.greber-ag.li/cafe
;;ETH bQm KulturCafé & Bar;Leonhardstrasse 34, ETH Zürich;8092;Zürich ETH-Zentrum;ZH;044 632 62 14;www.bqm-bar.ch
;;ETH food market;Joseph-von-Deschwanden-Platz 1, ETH Zürich;8093;Zürich ETH-Hönggerberg;ZH;044 633 72 20;www.foodmarket-eth.sv-restaurant.ch
;;ETH Zürich Dozentenfoyer;Rämistrasse 101;8092;Zürich ETH-Zentrum;ZH;044 632 62 58;www.dozentenfoyer-eth.sv-restaurant.ch
;;Etna;Hardplatz 7;8004;Zürich;ZH;+41444005161;
;;Etnic;Str. di Pregassona 44;6963;Pregassona;TI;091 923 38 25;www.etnic.ch
;;Etzliberg;Etzlibergstrasse 14;8800;Thalwil;ZH;044 720 18 88;www.etzliberg.ch
;;Eulachpark;Barbara-Reinhart-Strasse 25;8404;Winterthur;ZH;052 243 35 35;www.restaurant-eulachpark.ch
;;Euler;Centralbahnplatz 14;4002;Basel;BS;061 275 80 00;www.hoteleuler.ch
;;Eurest / Abbott;Kreuzstrasse 3;4123;Allschwil;BL;+41614870877;
;;Eurest / Restaurant Arena;Brown Boveri Strasse 7;5400;Baden;AG;056 205 81 70;
;;Eurest Restaurant RTS;Quai Ernest-Ansermet 20;1205;Genève;GE;;
;;Evin Kebap Haus;Hohlstrasse 187;8004;Zürich;ZH;+41442910080;
;;Evita;Zürcherstrasse 27;8620;Wetzikon ZH;ZH;044 932 71 71;www.evitabar.ch
;;e-WOK;Route des Jeunes 10;1227;Carouge GE;GE;022 301 66 23;
;;Exklusiv;Nidermattstrasse 8;5242;Birr;AG;056 444 94 75;www.restaurantexklusiv.ch
;;Express;Schaffhauserstrasse 10;8006;Zürich;ZH;;
;;Express Shop I GmbH;Langstrasse 124;8004;Zürich;ZH;079 443 72 03;
;;Ey Hof;Triemlistrasse 183;8047;Zürich;ZH;044 491 65 48;www.ey-site.ch
;;EY Restaurant platform;Maagplatz 1;8005;Zürich;ZH;044 273 59 22;https://zfv.ch/de/microsites/ey-restaurant-platform
;;F50;Flughofstrasse 50;8152;Glattbrugg;ZH;044 810 24 04;
;;Fabi;Wartstrasse 32;8400;Winterthur;ZH;052 503 80 10;
;;FAGO;St. Luzistrasse 22;9942;Eschen;;00423 371 14 14;www.fago.li
;;Fähre;Rheinsfelderstrasse 47;8192;Zweidlen;ZH;+41434225730;www.faehrezweidlen.ch
;;Fairplay;Rte du Verney 9;1070;Puidoux;VD;021 946 42 66;
;;Falcone;Birmensdorferstrasse 150;8003;Zürich;ZH;044 463 55 25;
;;Falcone;Metzgerweg 12;8906;Bonstetten;ZH;044 700 48 49;www.pizzafalcone.ch
;;Falken;Rheinstrasse 21;4410;Liestal;BL;061 923 32 32;www.restaurant-falken.ch
;;Falken;Münstergasse 64;3011;Bern;BE;031 311 30 95;www.falken.restaurant
;;Falken;Bahnhofstrasse 48;2502;Biel;BE;+41323224761;www.falken-biel.ch
;;Falken;St. Gallerstrasse 6;8500;Frauenfeld;TG;+41527212724;www.motelfalken.ch
;;Falken;Dorfstrasse 22;8700;Küsnacht ZH;ZH;044 910 66 88;www.falken-kuesnacht.ch
;;Falknis;Landstrasse 92;9490;Vaduz;0;+4232326377;
;;Fallender Brunnenhof;Wehntalerstrasse 98;8057;Zürich;ZH;044 350 17 50;www.fallenderbrunnenhof.ch
;;Fallken;Hauptstrasse 22;6315;Oberägeri;ZG;041 252 10 10;www.falken-oberaegeri.ch
;;Fantasia;Seebacherstr. 167;8052;Zürich;ZH;043 443 95 25;
;;Far East;Bahnhof Zug / Alpenstrasse 20;6300;Zug;ZG;041 711 68 08;
;;Farm 2.0;Route de l'Aéroport 5;1215;Genève 15 Aéroport;GE;078 639 12 58;
;;Farnsburg;Rheinstrasse 4;4410;Liestal;BL;061 601 39 39;
;;fashion bar;Flughafen;8060;Zürich-Flughafen;ZH;043 816 60 07;www.autogrill.ch
;;Fass Beiz;Webergasse 13;8200;Schaffhausen;SH;052 624 09 48;www.fassbeiz.ch
;;Fastasty (service de livraison);Avenue Adrien-Lachenal 25;1290;Versoix;GE;078 700 34 38;www.fastasty.com
;;Fata Morgana;Industriestrasse 8;8404;Winterthur;ZH;052 233 97 80;www.orient-welt.ch
;;Faten's (Livraisons);Avenue de Vaudagne 5A;1200;Genève;GE;022 510 10 11;www.libanais.ch
;;Fat'n'happy;Baumstrasse 45;5012;Schönenwerd;SO;062 849 13 85;
;;Faucheurs;Rue des Granges 5;2300;La Chaux-de-Fonds;NE;032 534 38 00;
;;Fauno;Mutschellenstrasse 22;8964;Rudolfstetten;AG;056 631 04 44;www.fauno-pizza-kurier.ch
;;Fédérale;Hauptgasse 45;4500;Solothurn;SO;032 622 15 15;www.federale-so.ch
;;Feedy's;Althardstrasse 190;8105;Regensdorf;ZH;+41448881001;www.feedys.ch
;;Fein und Schein;Schöntalstrasse 14;8004;Zürich;ZH;044 241 30 40;www.feinundschein.ch
;;Feld;Schönenbergstrasse 216;8820;Wädenswil;ZH;044 780 33 64;www.restaurant-im-feld.ch
;;Feld;Luzernstrasse 46;6208;Oberkirch LU;LU;041 925 01 01;www.hotel-feld.ch
;;Feld Beck;Schönenbergstrasse 218;8820;Wädenswil;ZH;044 780 41 55;
;;Feldschlösschen;Feldschlösschenstrasse 32;4310;Rheinfelden;AG;061 833 99 99;www.feldschloesschen-restaurant.ch
;;Feldschlösschen;Hardstrasse 2;4127;Birsfelden;BS;061 311 00 30;www.pizzeria-feldschloessli.ch
;;Feldschlösschen am Rhein;Marktgasse 36;4310;Rheinfelden;AG;061 831 16 18;
;;Feldschlössli;Hauptstrasse 73;5075;Hornussen;AG;+41628711237;www.feldschloessli-hornussen.ch
;;Felfel (Automaten);;;;;043 536 74 51;www.felfel.ch
;;Felix;Bellevueplatz 5;8001;Zürich;ZH;044 251 80 60;www.felixambellevue.ch
;;Fellenberg;Fellenbergstrasse 276;8047;Zürich;ZH;044 496 96 90;www.quartierbeck.ch
;;Felmis;Kastanienbaumstrasse 91;6048;Horw;LU;041 349 19 19;www.felmis.ch
;;Felsenegg;Felsenegg 1;8143;Stallikon;ZH;044 710 77 55;www.felsenegg.com
;;Ferdinand;Gutstrasse 2;8055;Zürich;ZH;+41444637557;
;;Ferme Droz-dit-Busset;Boulevard des Eplatures 58;2300;La Chaux-de-Fonds;NE;032 922 62 38;www.fermedrozditbusset.ch
;;fernwehbar;Flughafen;8036;Zürich-Flughafen;ZH;043 816 60 02;www.autogrill.ch
;;Feta;Via Zurigo 7;6900;Lugano;TI;091 921 19 75;www.ristorantefeta.ch
;;Feuillage;Rue de la Gare 38;2074;Marin-Epagnier;NE;032 753 02 02;www.feuillage.ch
;;FFS Bellinzona;Refettorio FFS;6501;Bellinzona;TI;081 825 14 83;http://zfv.ch/de/microsites/ristorante-ffs-bellinzona
;;FHNW Campus;Hofackerstrasse;4132;Muttenz;BL;;
;;FHNW-Campus;Bahnhofstrasse 5;5210;Windisch;AG;056 202 80 30;www.sv-restaurant.ch
;;Fifa Museum Gastronomie;Seestrasse 27;8002;Zürich;ZH;079 315 88 50;www.edelweisscatering.ch
;;Fifty-Fifty;Rue Neuve-du-Molard 7;1204;Genève;GE;022 310 26 98;
;;Filzball;Weihermattstrasse 72;8902;Urdorf;ZH;044 734 01 61;www.filzball.ch
;;Fine Choice;Hofwiesenstrasse 376;8050;Zürich;ZH;044 313 19 85;
;;Fingy's;Via Balestra 20;6900;Lugano;TI;091 922 26 26;www.fingys.ch
;;Finkmüller;Gu¨terstrasse 104;4053;Basel;BS;061 271 35 64;http://finkmueller.ch
;;Finkmüller;Markthalle Basel, Steinentorberg 22;4051;Basel;BS;079 601 23 61;www.oelist.ch
;;Fiorello;Schulhausstrasse 37;8703;Erlenbach ZH;ZH;044 910 73 33;www.restaurantfiorello.ch
;;Fiorello Piadineria;Bassin 12;2000;Neuchâtel;NE;032 721 06 55;www.fiorello-piadineria.com
;;Fiorentina;Blumenrain 12;4051;Basel;BS;061 381 12 12;www.fiorentinabasel.ch
;;Firenze;Strada di Gandria 1;6976;Castagnola;TI;091 224 62 33;www.ristorantefirenze.ch
;;Fischer;Stuhlenstrasse 2;8123;Ebmatingen;ZH;044 980 32 93;www.beckfischer.ch
;;Fischer;Aeschstrasse 8;8127;Forch;ZH;032 511 56 09;www.beckfischer.ch
;;Fischer;Kindhauserstrasse 1;8604;Volketswil;ZH;044 945 42 09;www.beckfischer.ch
;;Fischergut;Hauptstrasse 4;5084;Rheinsulz;AG;062 874 12 12;
;;Fischküche Bahnhöfli;Hauptstrasse 58;5464;Rümikon AG;AG;056 243 14 84;www.fischkueche-ruemikon.ch/
;;Fischmärt;Fischmarkt 15;6300;Zug;ZG;+41417200040;
;;Fischstube;Bellerivestrasse 160;8008;Zürich;ZH;044 422 25 20;
;;Fish & Chips;Markthalle / Viaduktstrasse 10;4051;Basel;BS;078 870 31 56;www.raph-a-licious.com
;;Fish & More;Steinentorberg 20;4051;Basel;BL;NOCH AUSSTEHEND;www.fishandmore.business.site
;;Fitting Room Balexert;Avenue Louis-Casaï 27;1209;Genève;GE;022.940.36.81;www.the-fitting-room.ch
;;Fitting Room Welle 7;Schanzenstrasse 6;3008;Bern;BE;031 301 00 46;www.the-fitting-room.ch
;;Five Spice;Sihlfeldstrasse 81;8004;Zürich;ZH;044 291 00 42;www.fivespices.biz
;;FiveSpice;Zweierstrasse 106;8003;Zürich;ZH;044 450 13 85;
;;Flamingo;Zürichstrasse 57;8306;Brüttisellen;ZH;044 833 28 48;
;;FlammLachs;Rütihof 37;5722;Gränichen;AG;062 842 10 03;
;;Flanagan's;Picassoplatz 8;4052;Basel;BS;061 283 28 28;
;;Flash;Kalkbreitestrasse 136;8003;Zürich;ZH;043 333 28 17;
;;Flavour of India;Kalchengasse 12;8302;Kloten;ZH;043 255 67 10;
;;Fleisch am Chnoche;Trichtenhauserstrasse 235;8053;Zürich;ZH;044 242 20 30;www.fleischamchnoche.ch
;;Fleischli;Wehntalerstrasse 40;8157;Dielsdorf;ZH;044 853 03 40;www.baeckerei-fleischli.ch
;;Fleischli;Zürcherstrasse 15;8107;Buchs ZH;ZH;044 885 03 44;www.baeckerei-fleischli.ch
;;Fleischli;Schaffhauserstrasse 114;8302;Kloten;ZH;043 255 64 80;www.baeckerei-fleischli.ch
;;Fleischli;Bahnhofstrasse 1;8154;Oberglatt ZH;ZH;044 851 07 20;www.baeckerei-fleischli.ch
;;Fleischli;Wilstrasse 115;8600;Dübendorf;ZH;044 820 70 80;www.baeckerei-fleischli.ch
;;Fleischli;Schaffhauserstrasse 114;8302;Kloten;ZH;043 255 64 82;www.baeckerei-fleischli.ch
;;Fleischli;Alte Winterthurerstrasse 1;8180;Bülach;ZH;043 444 03 55;www.baeckerei-fleischli.ch
;;Fleischli;Bahnhofstrasse 1;8172;Niederglatt ZH;ZH;044 850 14 41;www.baeckerei-fleischli.ch
;;Fleischli;Wehntalerstrasse 40;8157;Dielsdorf;ZH;044 853 03 42;www.baeckerei-fleischli.ch
;;Fleischli;Zürcherstrasse 17;8173;Neerach;ZH;044 858 03 13;www.baeckerei-fleischli.ch
;;Fleischli;Bahnhofplatz 2;8304;Wallisellen;ZH;044 830 29 30;www.baeckerei-fleischli.ch
;;Fleischli;Hofwisenstrasse 48;8153;Rümlang;ZH;044 817 03 02;www.baeckerei-fleischli.ch
;;Fleischli Cafeteria;Sonnenhof 1;8180;Bülach;ZH;044 886 31 35;www.baeckerei-fleischli.ch
;;Fleischli Laden;Sonnenhof 1;8180;Bülach;ZH;044 886 31 35;www.baeckerei-fleischli.ch
;;Fleur de Lys;Route de Neuchâtel 73;1008;Prilly;VD;021 647 09 09;
;;Fleur de Lys;Rue du Bassin 10;2000;Neuchâtel;NE;032 724 30 30;
;;Fleur de pains;Rue des Terreaux 2;1804;Corsier-sur-Vevey;VD;021 921 20 30;www.fleurdepains.ch
;;Fleur de pains;Av. Général Guisan 15, Centre St-Antoine;1800;Vevey;VD;021 921 47 70;www.fleurdepains.ch
;;Fleur de pains;Chemin des Croisettes 1;1066;Epalinges;VD;021 613 80 04;www.fleurdepains.ch
;;Fleur de pains;Av. des Alpes 45;1820;Montreux;VD;021 961 18 07;www.fleurdepains.ch
;;Fleur de pains;Route Cantonale, EPFL Innovation Park, Q1 devant le bâtiment C;1015;Lausanne;VD;021 613 80 02;www.fleurdepains.ch
;;Fleur de pains;Av. de Vevey 43;1009;Pully;VD;021 711 48 64;www.fleurdepains.ch
;;Fleur de pains;Av. du Tir-Fédéral 88;1024;Ecublens VD;VD;021 691 20 10;www.fleurdepains.ch
;;Fleur de pains;Place de l'Ancienne Gare 5;1170;Aubonne;VD;021 807 06 30;www.fleurdepains.ch
;;Fleur de pains;Grand Rue 32;1820;Montreux;VD;021 961 29 16;www.fleurdepains.ch
